n m duration_ms O(f(n))/T(n)
2 1 1583 0.000631712
102 5151 934881 0.104703
202 20301 3941006 0.113159
302 45451 10821100 0.099589
402 80601 19173724 0.104881
502 125751 30521944 0.106757
602 180901 44211949 0.109241
702 246051 52851026 0.127394
802 321201 72381417 0.12399
902 406351 93032840 0.124262
1002 501501 116649693 0.124267
1102 606651 144330985 0.123223
1202 721801 176629675 0.121339
1302 846951 204239282 0.124565
1402 982101 221991304 0.134309
1502 1127251 182258711 0.189611
1602 1282401 149322904 0.265682
1702 1447551 121409312 -nan
1802 1622701 115341777 -nan
1902 1807851 128882249 -nan
2002 2003001 143157724 -nan
2102 2208151 156913686 0.399213
2202 2423301 177102796 0.409882
2302 2648451 195582466 0.416353
2402 2883601 209122730 -nan
2502 3128751 226389292 -nan
2602 3383901 246962761 0.379268
2702 3649051 263634397 0.418589
2802 3924201 286136510 -nan
2902 4209351 312468750 -nan
3002 4504501 326724631 0.403239
3102 4809651 349722664 0.425264
3202 5124801 371642986 -nan
3302 5449951 399348809 0.404005
3402 5785101 429953846 -nan
3502 6130251 488357032 -nan
3602 6485401 521803816 0.382961
3702 6850551 501169107 -nan
3802 7225701 531176276 0.41714
3902 7610851 558020503 -nan
4002 8006001 584947958 0.422637
4102 8411151 621815628 0.366433
4202 8826301 648013665 -nan
4302 9251451 675537094 0.412119
4402 9686601 703571382 -nan
4502 10131751 737268285 -nan
4602 10586901 775552601 0.415794
4702 11052051 810983542 0.390715
4802 11527201 850662260 -nan
4902 12012351 881699755 -nan
5002 12507501 921706609 -nan
5102 13012651 964603031 0.416477
5202 13527801 997632625 0.415227
5302 14052951 1020664159 0.419618
5402 14588101 1075379388 0.41345
5502 15133251 1100934351 0.421
5602 15688401 1159991928 0.417747
5702 16253551 1203871240 -nan
5802 16828701 1240447899 -nan
5902 17413851 1276704716 -nan
6002 18009001 1338649974 0.395724
6102 18614151 1374491961 0.417575
6202 19229301 1431573925 -nan
6302 19854451 1477130654 0.390912
6402 20489601 1523856293 -nan
6502 21134751 1564856500 -nan
6602 21789901 1609886428 0.419363
6702 22455051 1663846045 0.368978
6802 23130201 1716113036 -nan
6902 23815351 1756058644 0.408447
7002 24510501 1808434282 -nan
7102 25215651 1840959200 -nan
7202 25930801 1916041092 0.418822
7302 26655951 1959520045 0.412856
7402 27391101 2014227022 0.404182
7502 28136251 2071610675 0.396844
7602 28891401 2127795798 0.395583
7702 29656551 2180325559 0.401822
7802 30431701 2229990417 0.411666
7902 31216851 2294797949 0.418908
8002 32012001 2344411152 -nan
8102 32817151 2404002444 -nan
8202 33632301 2472587137 0.406153
8302 34457451 2517072232 -nan
8402 35292601 2593277955 0.372737
8502 36137751 2671307322 -nan
8602 36992901 2732175651 0.386175
8702 37858051 2777315871 -nan
8802 38733201 2838170160 0.417602
8902 39618351 2906524017 0.393707
9002 40513501 2991849919 -nan
9102 41418651 3060465576 -nan
9202 42333801 3114729251 -nan
9302 43258951 3150296889 -nan
9402 44194101 3259942722 -nan
9502 45139251 3345488495 -nan
9602 46094401 3415032564 0.373771
9702 47059551 3495882432 0.407634
9802 48034701 3539216429 -nan
9902 49019851 3622990816 0.350633
