n m duration_ms O(f(n))/T(n)
2 1 2104 0.00190114
102 1040 83428 0.124706
202 4080 294888 0.138371
302 9120 340915 0.267527
402 16160 1108758 0.145752
502 25200 1837487 0.137146
602 36240 2705510 0.13395
702 49280 3623689 0.135995
802 64320 4348951 0.147899
902 81360 5712422 0.142427
1002 100400 6292670 0.159551
1102 121440 7180551 0.169124
1202 144480 8852675 0.163205
1302 169520 10303501 0.164527
1402 196560 12096544 0.162493
1502 225600 13537201 0.166652
1602 256640 15305648 0.167677
1702 289680 17053406 0.169867
1802 324720 19127792 0.169764
1902 361760 20880209 0.173255
2002 400800 24401684 0.164251
2102 441840 24689699 0.178957
2202 484880 23934179 0.202589
2302 529920 21534698 0.246077
2402 576960 19617149 0.29411
2502 626000 17926088 0.349212
2602 677040 16653329 0.40655
2702 730080 14870485 0.490959
2802 785120 13538614 0.579912
2902 842160 14717285 0.572225
3002 901200 15408503 0.584872
3102 962240 16427282 0.585758
3202 1025280 19477365 0.526396
3302 1090320 20278872 0.537663
3402 1157360 21939375 0.527527
3502 1226400 23476644 0.522392
3602 1297440 23997781 0.54065
3702 1370480 23822560 0.575287
3802 1445520 24615581 0.587238
3902 1522560 26989915 0.564122
4002 1601600 27098240 0.591035
4102 1682640 30390992 0.553664
4202 1765680 33753186 0.523115
4302 1850720 31218228 0.592833
4402 1937760 32702308 0.592545
4502 2026800 34018961 0.595786
4602 2117840 35433278 0.597698
4702 2210880 37576003 0.588376
4802 2305920 38715812 0.595602
4902 2402960 40451007 0.594042
5002 2502000 43400029 0.576497
5102 2603040 48066212 0.541553
5202 2706080 46819843 0.577977
5302 2811120 47948650 0.586277
5402 2918160 48948103 0.596174
5502 3027200 55025868 0.550141
5602 3138240 56147132 0.558932
5702 3251280 54378374 0.5979
5802 3366320 57167254 0.588855
5902 3483360 58525686 0.595185
6002 3602400 59959502 0.600806
6102 3723440 62146974 0.599135
6202 3846480 63876619 0.602173
6302 3971520 65740098 0.604125
6402 4098560 68557964 0.597824
6502 4227600 70849463 0.596702
6602 4358640 72308126 0.602787
6702 4491680 74554419 0.60247
6802 4626720 76629339 0.603779
6902 4763760 79451324 0.599582
7002 4902800 89594979 0.547218
7102 5043840 83298000 0.605518
7202 5186880 85650756 0.605585
7302 5331920 88196417 0.604551
7402 5478960 90218016 0.607302
7502 5628000 94740020 0.594047
7602 5779040 95387729 0.605847
7702 5932080 97799677 0.606554
7802 6087120 100487679 0.605758
7902 6244160 103092253 0.605687
8002 6403200 105391189 0.607565
8102 6564240 108660202 0.604107
8202 6727280 110654952 0.607951
8302 6892320 123727649 0.557056
8402 7059360 116600978 0.605429
8502 7228400 118630234 0.609322
8602 7399440 121563532 0.608689
8702 7572480 126206067 0.600009
8802 7747520 128693772 0.602012
8902 7924560 141275632 0.560929
9002 8103600 134152717 0.604058
9102 8284640 143312728 0.578081
9202 8467680 138845153 0.609865
9302 8652720 143068305 0.604796
9402 8839760 148304215 0.596056
9502 9028800 158987984 0.567892
9602 9219840 150680596 0.61188
9702 9412880 154576840 0.608945
9802 9607920 161366334 0.59541
9902 9804960 165227953 0.59342
