n m duration_ms O(f(n))/T(n)
101 5050 47217 0.216045
201 20100 189090 0.21366
301 45150 487457 0.185865
401 80200 816868 0.196851
501 125250 1304417 0.192424
601 180300 1737602 0.207873
701 245350 2360972 0.208135
801 320400 3027351 0.211935
901 405450 3722442 0.218083
1001 500500 5476026 0.18298
1101 605550 6179045 0.196179
1201 720600 6281955 0.22961
1301 845650 8419387 0.201036
1401 980700 8498042 0.230971
1501 1125750 9565444 0.235535
1601 1280800 10909777 0.234945
1701 1445850 12968570 0.223109
1801 1620900 13755092 0.235811
1901 1805950 15512084 0.232967
2001 2001000 16724757 0.239406
2101 2101000 18019971 0.244962
2201 2201000 18833989 0.257216
2301 2301000 20117642 0.263182
2401 2401000 20929082 0.275445
2501 2501000 21963585 0.28479
2601 2601000 24436782 0.276845
2701 2701000 24560956 0.297032
2801 2801000 24962924 0.31429
2901 2901000 26192140 0.32131
3001 3001000 27700397 0.325122
3101 3101000 29746128 0.323276
3201 3201000 34353386 0.298265
3301 3301000 34456215 0.316245
3401 3401000 34177900 0.338429
3501 3501000 34271874 0.35764
3601 3601000 37610186 0.344779
3701 3701000 36606833 0.374176
3801 3801000 38841237 0.371966
3901 3901000 39424624 0.385997
4001 4001000 42206126 0.379281
4101 4101000 42633535 0.394483
4201 4201000 44124269 0.39997
4301 4301000 50970768 0.362926
4401 4401000 55527547 0.348814
4501 4501000 52624275 0.384974
4601 4601000 57014752 0.371293
4701 4701000 54572937 0.404952
4801 4801000 60741761 0.379469
4901 4901000 63728186 0.37691
5001 5001000 63620699 0.393111
5101 5101000 69169503 0.37618
5201 5201000 66469533 0.406959
5301 5301000 61638385 0.455895
5401 5401000 86920324 0.335604
5501 5501000 85050750 0.355799
5601 5601000 91505430 0.342834
5701 5701000 94378046 0.344375
5801 5801000 93814948 0.358702
5901 5901000 87011461 0.400198
6001 6001000 93885395 0.383574
6101 6101000 103657564 0.359088
6201 6201000 108592294 0.354099
6301 6301000 109672407 0.362011
6401 6401000 107662061 0.380569
6501 6501000 115196825 0.366876
6601 6601000 112614415 0.386924
6701 6701000 119900244 0.374506
6801 6801000 116948369 0.395504
6901 6901000 90913514 0.523836
7001 7001000 93304089 0.525315
7101 7101000 94885535 0.531421
7201 7201000 97442656 0.532153
7301 7301000 99220357 0.537235
7401 7401000 101796613 0.538081
7501 7501000 103690102 0.542627
7601 7601000 105618530 0.547018
7701 7701000 108521093 0.546487
7801 7801000 109211141 0.557229
7901 7901000 114684194 0.544328
8001 8001000 114685443 0.558188
8101 8101000 118330907 0.554599
8201 8201000 119308830 0.563717
8301 8301000 124666561 0.552727
8401 8401000 128395154 0.549684
8501 8501000 124836901 0.578891
8601 8601000 129535014 0.571098
8701 8701000 132484461 0.571444
8801 8801000 133522464 0.580109
8901 8901000 136286552 0.581332
9001 9001000 137745278 0.588173
9101 9101000 143846636 0.575809
9201 9201000 141441848 0.598539
9301 9301000 145960606 0.592685
9401 9401000 145217524 0.608596
9501 9501000 148936901 0.606089
9601 9601000 151371495 0.60896
9701 9701000 155177224 0.606464
9801 9801000 156529593 0.613683
9901 9901000 161531172 0.606879
10001 10001000 167546513 0.596969
