n m duration_ms O(f(n))/T(n)
2 1 2073 0.00192957
102 5151 174471 0.0596317
202 20301 720816 0.0566081
302 45451 1763280 0.0517241
402 80601 3568460 0.0452868
502 125751 3820157 0.0659669
602 180901 6953043 0.0521216
702 246051 7899576 0.0623836
802 321201 9640293 0.0667204
902 406351 12060208 0.0674619
1002 501501 14828743 0.0677066
1102 606651 17895263 0.0678618
1202 721801 23176969 0.0623379
1302 846951 25063723 0.0676358
1402 982101 27953929 0.0703158
1502 1127251 23096857 0.0976758
1602 1282401 19007220 0.135023
1702 1447551 16205712 0.178752
1802 1622701 14873368 0.218323
1902 1807851 16167750 0.223754
2002 2003001 18058402 0.221947
2102 2208151 19828405 0.222832
2202 2423301 21659324 0.223867
2302 2648451 23596274 0.224578
2402 2883601 27306774 0.211288
2502 3128751 27660975 0.226312
2602 3383901 30104314 0.224898
2702 3649051 32190176 0.226802
2802 3924201 34477169 0.227722
2902 4209351 37244001 0.22612
3002 4504501 39698211 0.227013
3102 4809651 42184812 0.228101
3202 5124801 44734673 0.229191
3302 5449951 51990550 0.209715
3402 5785101 54934218 0.210681
3502 6130251 59949290 0.204573
3602 6485401 62260369 0.208389
3702 6850551 60536334 0.22639
3802 7225701 62508380 0.231252
3902 7610851 66162635 0.230124
4002 8006001 69344224 0.230964
4102 8411151 72753724 0.231279
4202 8826301 76202370 0.231709
4302 9251451 80220955 0.230703
4402 9686601 83544925 0.231942
4502 10131751 87439864 0.231794
4602 10586901 92028605 0.230128
4702 11052051 95838372 0.230688
4802 11527201 98520967 0.234054
4902 12012351 102895433 0.233534
5002 12507501 107286404 0.233208
5102 13012651 111927158 0.232566
5202 13527801 116837927 0.23161
5302 14052951 121300519 0.231748
5402 14588101 124571261 0.234256
5502 15133251 129757642 0.233297
5602 15688401 134327342 0.233626
5702 16253551 139416093 0.233207
5802 16828701 144564626 0.232859
5902 17413851 149001510 0.23378
6002 18009001 154486001 0.233186
6102 18614151 158442825 0.235002
6202 19229301 165537478 0.232363
6302 19854451 169143455 0.234802
6402 20489601 176418412 0.23232
6502 21134751 181404975 0.233048
6602 21789901 186435731 0.233788
6702 22455051 196381978 0.228722
6802 23130201 197994977 0.233679
6902 23815351 202475654 0.235276
7002 24510501 209409157 0.234125
7102 25215651 214966243 0.234634
7202 25930801 221982113 0.233662
7302 26655951 227245340 0.234633
7402 27391101 234142455 0.234001
7502 28136251 239701939 0.234792
7602 28891401 246394816 0.234544
7702 29656551 253662525 0.233857
7802 30431701 260284672 0.233864
7902 31216851 266002560 0.234741
8002 32012001 274785376 0.233026
8102 32817151 279202685 0.235107
8202 33632301 288381944 0.233277
8302 34457451 292909382 0.235306
8402 35292601 300533145 0.234895
8502 36137751 309262288 0.23373
8602 36992901 313692597 0.235882
8702 37858051 322460277 0.234835
8802 38733201 329028047 0.235467
8902 39618351 338087788 0.234394
9002 40513501 344451135 0.235261
9102 41418651 354302847 0.233829
9202 42333801 360411505 0.234945
9302 43258951 366294755 0.236223
9402 44194101 373011448 0.236984
9502 45139251 382754604 0.23589
9602 46094401 388527513 0.237302
9702 47059551 398921053 0.235958
9802 48034701 407820522 0.235592
9902 49019851 425021127 0.230693
