n m duration_ms O(f(n))/T(n)
101 5050 243554 0.393134
201 20100 1113012 0.396324
301 30100 1702555 0.408588
401 40100 2419706 0.39672
501 50100 2499667 0.492673
601 60100 3136528 0.48107
701 70100 3637001 0.492461
801 80100 4213601 0.493024
901 90100 5637086 0.419959
1001 100100 6131708 0.43389
1101 110100 6143519 0.481242
1201 120100 7060689 0.461028
1301 130100 7106850 0.500396
1401 140100 8078331 0.477762
1501 150100 8188003 0.508655
1601 160100 8852416 0.505188
1701 170100 9705488 0.492629
1801 180100 10292342 0.494734
1901 190100 10663127 0.506825
2001 200100 11409182 0.501196
2101 210100 11738311 0.514006
2201 220100 12695521 0.500198
2301 230100 12128686 0.549795
2401 240100 12802588 0.545793
2501 250100 13187914 0.554146
2601 260100 13925741 0.547882
2701 270100 14942178 0.532211
2801 280100 15433914 0.536235
2901 290100 15692421 0.548101
3001 300100 16238521 0.549734
3101 310100 16771322 0.551755
3201 320100 17636141 0.543281
3301 330100 17860583 0.554854
3401 340100 18591503 0.550763
3501 350100 19257100 0.548881
3601 360100 19535125 0.558022
3701 370100 20064382 0.559848
3801 380100 20833106 0.555162
3901 390100 21232638 0.560423
4001 400100 21770775 0.561924
4101 410100 22304863 0.563486
4201 420100 22828424 0.565267
4301 430100 23556734 0.562007
4401 440100 24434889 0.555663
4501 450100 25143473 0.553434
4601 460100 25530020 0.558307
4701 470100 26417296 -nan
4801 480100 26628628 -nan
4901 490100 30215273 -nan
5001 500100 30840467 -nan
5101 510100 30713595 -nan
5201 520100 31505050 -nan
5301 530100 31605581 -nan
5401 540100 30567221 -nan
5501 550100 30913934 -nan
5601 560100 31933413 -nan
5701 570100 32524269 -nan
5801 580100 33894133 -nan
5901 590100 33571384 -nan
6001 600100 34077686 -nan
6101 610100 34569488 -nan
6201 620100 35327225 -nan
6301 630100 36547762 -nan
6401 640100 36157137 -nan
6501 650100 37288759 -nan
6601 660100 40658522 0.420394
6701 670100 38397682 0.480645
6801 680100 38917798 0.494544
6901 690100 39693003 0.500717
7001 700100 44162725 0.462516
7101 710100 41555967 0.503704
7201 720100 44949935 0.476276
7301 730100 45828790 0.477097
7401 740100 46863476 0.475979
7501 750100 49964274 0.455042
7601 760100 45290597 0.511293
7701 770100 45318198 0.520113
7801 780100 45847248 0.52301
7901 790100 46239143 0.527297
8001 800100 47867179 0.517702
8101 810100 48301859 -nan
8201 820100 49078196 -nan
8301 830100 49503366 -nan
8401 840100 50180276 -nan
8501 850100 50674825 -nan
8601 860100 51552943 -nan
8701 870100 52026357 -nan
8801 880100 52307624 -nan
8901 890100 53220644 -nan
9001 900100 54220644 -nan
9101 910100 56950859 -nan
9201 920100 54359574 -nan
9301 930100 55606635 0.432554
9401 940100 59016612 0.444199
9501 950100 60327835 0.452041
9601 960100 60822345 0.461344
9701 970100 60105157 0.477952
9801 980100 62375763 0.470133
9901 990100 62883968 0.475117
10001 1000100 60366584 0.50356
