n m duration_ms O(f(n))/T(n)
2 1 1302 0.000768049
102 1040 162427 0.106895
202 4080 706267 0.11353
302 9120 928026 0.210238
402 16160 3045414 0.120089
502 25200 5000595 0.118893
602 36240 7757994 0.113881
702 49280 9351018 0.131982
802 64320 14578192 0.113039
902 81360 11694634 0.181781
1002 100400 20948348 0.127411
1102 121440 24059516 0.136261
1202 144480 28823903 0.137201
1302 169520 36095836 0.130173
1402 196560 42480501 0.129733
1502 225600 49933958 0.128021
1602 256640 52655929 0.139467
1702 289680 59086310 0.141575
1802 324720 69090955 0.136881
1902 361760 76117925 0.139527
2002 400800 86414974 0.137193
2102 441840 89526414 0.147026
2202 484880 85883568 0.169328
2302 529920 77466869 0.206477
2402 576960 69771484 0.251123
2502 626000 64100150 0.298298
2602 677040 57869227 0.359341
2702 730080 52457325 0.429741
2802 785120 52529191 -nan
2902 842160 51742583 -nan
3002 901200 59776999 -nan
3102 962240 66758332 -nan
3202 1025280 74558907 -nan
3302 1090320 78614623 -nan
3402 1157360 83724566 -nan
3502 1226400 89875047 -nan
3602 1297440 93637709 0.394831
3702 1370480 92928798 0.435589
3802 1445520 98140252 0.444252
3902 1522560 110444361 0.42207
4002 1601600 114203407 0.434435
4102 1682640 115349025 -nan
4202 1765680 128585962 -nan
4302 1850720 134799723 -nan
4402 1937760 132817222 -nan
4502 2026800 143670286 0.40903
4602 2117840 149584912 0.426258
4702 2210880 162120171 0.419345
4802 2305920 162279343 -nan
4902 2402960 169256050 -nan
5002 2502000 179880503 -nan
5102 2603040 189792917 0.391708
5202 2706080 198003422 0.412067
5302 2811120 204647671 0.424612
5402 2918160 208345713 -nan
5502 3027200 222055348 -nan
5602 3138240 232130783 0.386346
5702 3251280 235902816 0.418152
5802 3366320 244643967 -nan
5902 3483360 252630229 -nan
6002 3602400 260640637 0.374958
6102 3723440 269161001 0.417968
6202 3846480 277958920 -nan
6302 3971520 290295890 -nan
6402 4098560 299814314 0.393781
6502 4227600 306491860 0.423159
6602 4358640 316355761 -nan
6702 4491680 327011149 0.346097
6802 4626720 337545548 0.416542
6902 4763760 346941203 -nan
7002 4902800 384609002 -nan
7102 5043840 368022749 0.417255
7202 5186880 381224050 -nan
7302 5331920 388756139 0.384791
7402 5478960 396353292 0.42609
7502 5628000 412008821 -nan
7602 5779040 425975324 0.405262
7702 5932080 434152536 -nan
7802 6087120 445714440 0.380762
7902 6244160 456921731 0.423165
8002 6403200 471493645 -nan
8102 6564240 482405911 0.41658
8202 6727280 491957791 -nan
8302 6892320 538445791 0.388719
8402 7059360 525871608 -nan
8502 7228400 534017408 0.410202
8602 7399440 545096194 -nan
8702 7572480 553680205 0.416513
8802 7747520 574797181 -nan
8902 7924560 606034903 0.402288
9002 8103600 622812324 -nan
9102 8284640 623287753 -nan
9202 8467680 624026802 0.396019
9302 8652720 647101751 -nan
9402 8839760 664413709 0.405645
9502 9028800 684471737 -nan
9602 9219840 680427250 -nan
9702 9412880 691758824 0.409208
9802 9607920 726115156 -nan
9902 9804960 726404278 -nan
